texto,categoria
los vecinos del sector sur estamos organizando rondas propias porque los robos no paran y la municipalidad no ha respondido. Gracias de antemano.,Seguridad Ciudadana
"hay un galpon en Poblacion Nueva Amanecer que funciona como bodega sin permiso de funcionamiento, ademas genera mucho ruido de camiones en la noche. Porfavor tomen cartas en el asunto",Permisos y Patentes Comerciales
quiero reclamar xq los contenedores de basura de mi calle estan siempre rebalsados y los perros vagos rompen las bolsas y dejan la tierra tirada. Quedo atento a una respuesta,Aseo y Ornato
"el sitio eriazo de calle Padre Hurtado se ha convertido en un foco de delincuencia, de noche se juntan a robar y a consumir. Porfavor tomen cartas en el asunto",Seguridad Ciudadana
la vereda del centro esta toda levantada por las raices de un arbol y varias personas se han caido ahi. Saludos!!,Vialidad y Pavimentación
"reclamo xq el furgon de seguridad municipal ya no pasa por el sector poniente como antes, y justo ahora es cuando mas robos hay. Espero una pronta solucion.",Seguridad Ciudadana
"los postes de luz de la cuadra de la plaza se apagan como a las 11 de la noche y quedamos completamente a oscuras hasta el otro dia. Espero puedan solucionarlo pronto, gracias.",Alumbrado Público
"el pavimento de calle Los Copihues esta totalmente destrozado, cada vez q llueve se llena de agua y no se puede pasar. Muchas gracias por su tiempo.",Vialidad y Pavimentación
hicieron una rayado (graffiti) horrible en el muro de la sede social de Poblacion 18 de Septiembre y ya lleva bastante tiempo sin que lo limpien. Ya no sabemos a quien mas recurrir,Aseo y Ornato
quiero saber pq el local de calle Los Alamos sigue abierto si los vecinos ya denunciamos que no tiene patente comercial vigente. Porfavor tomen cartas en el asunto,Permisos y Patentes Comerciales
"el alumbrado publico de la cancha de Villa El Trebol no sirve, los ninos que juegan de noche no ven nada y se pueden accidentar. Gracias de antemano.",Alumbrado Público
"Buenas tardes, el poste de calle Los Naranjos quedo colgando despues de un choque hace 20 dias y nadie lo ha venido a reparar, es peligroso. Porfavor tomen cartas en el asunto",Alumbrado Público
"en Poblacion El Progreso las calles de tierra se llenan de barro cuando llueve, ya no se puede ni caminar, necesitamos pavimentacion urgente. Espero una pronta solucion.",Vialidad y Pavimentación
"asaltaron a un vecino a mano armada en la esquina de Bernardo O'Higgins hace varios meses, necesitamos mas presencia policial urgente. Gracias de antemano.",Seguridad Ciudadana
hicieron una rayado (graffiti) horrible en el muro de la sede social de Villa Los Pinos y ya lleva mas de 20 dias sin que lo limpien. Muchas gracias por su tiempo.,Aseo y Ornato
"Hola municipio, pedimos mas rondas de carabineros para Villa El Retiro porque hace un par de semanas hubo dos asaltos en la misma cuadra. Quedo atento a una respuesta.",Seguridad Ciudadana
"el sitio eriazo de calle Los Almendros se ha convertido en un foco de delincuencia, de noche se juntan a robar y a consumir. Ya no sabemos a quien mas recurrir!!",Seguridad Ciudadana
